group;var;value;min;max;weight
1;"CAT_1";"D_1";;11;1.0
1;"CAT_1";"D_2";;9;1.0
1;"CAT_1";"D_3";;20;1.0
1;"CAT_1";"D_4";;8;1.0
2;"CAT_1";"D_1";;11;1.0
2;"CAT_1";"D_2";;7;1.0
2;"CAT_1";"D_3";;20;1.0
2;"CAT_1";"D_4";;7;1.0
3;"CAT_1";"D_1";;11;1.0
3;"CAT_1";"D_2";;7;1.0
3;"CAT_1";"D_3";;20;1.0
3;"CAT_1";"D_4";;7;1.0
1;"CAT_2";"CAT_2_3";1;;1.0
2;"CAT_2";"CAT_2_3";1;;1.0
3;"CAT_2";"CAT_2_3";1;;1.0
1;"CAT_3";"CAT_3_4";1;5;1.0
2;"CAT_3";"CAT_3_4";1;5;1.0
3;"CAT_3";"CAT_3_4";1;5;1.0
1;"CAT_5_6";"G_A";;17;1.0
1;"CAT_5_6";"F_A";;25;1.0
1;"CAT_5_6";"A_BC";;0;1.0
1;"CAT_5_6";"A_C";;0;1.0
1;"CAT_5_6";"S_B";;0;1.0
2;"CAT_5_6";"G_A";;13;1.0
2;"CAT_5_6";"F_A";;21;1.0
2;"CAT_5";"A";;9;1.0
2;"CAT_5_6";"S_B";;0;1.0
3;"CAT_5_6";"G_A";;13;1.0
3;"CAT_5_6";"F_A";;21;1.0
3;"CAT_5_6";"A_BC";;3;1.0
3;"CAT_5_6";"A_C";;0;1.0
3;"CAT_5_6";"S_B";;7;1.0
