ITEM_ID;UNIT_ALL;UNIT;ENEMY_SET;CAT_1;CAT_2;CAT_3;CAT_4;CAT_5_6;CAT_5;CAT_6;b;PROP_CORR
1;U_254;U_254;ES_37;D_3;CAT_2_1;CAT_3_2;0;G_A;G;A;-2.37;0.852
2;U_254;U_254;;D_3;CAT_2_1;CAT_3_2;0;G_A;G;A;-0.2;0.526
3;U_254;U_254;;D_3;CAT_2_1;CAT_3_2;0;G_A;G;A;-0.21;0.528
4;U_256;;;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.881;0.663
5;U_257;;;D_3;CAT_2_1;CAT_3_4;0;F_A;F;A;1.862;0.193
6;U_258;;;D_4;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.828;0.626
7;U_259;;ES_5;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.064;0.693
8;U_260;U_260;ES_17;D_3;CAT_2_2;CAT_3_2;0;G_A;G;A;0.578;0.398
9;U_260;U_260;;D_3;CAT_2_2;CAT_3_5;0;G_A;G;A;1.199;0.298
10;U_261;;;D_1;CAT_2_2;CAT_3_2;1;F_A;F;A;2.861;0.114
11;U_262;;;D_3;CAT_2_2;CAT_3_5;0;G_A;G;A;-0.566;0.597
12;U_263;;ES_34;D_2;CAT_2_3;CAT_3_3;1;F_A;F;A;0.868;0.344
13;U_255;;;D_3;CAT_2_1;CAT_3_4;0;A_BC;A;BC;0.213;0.461
14;U_126;U_126;ES_18;D_3;CAT_2_2;CAT_3_2;1;G_A;G;A;1.535;0.234
15;U_126;U_126;;D_3;CAT_2_2;CAT_3_2;1;G_A;G;A;2.114;0.165
16;U_28;;;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.471;0.577
17;U_20;U_20;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;0.201;0.455
18;U_20;U_20;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-1.129;0.696
19;U_208;;ES_14;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.631;0.611
20;U_195;;;D_3;CAT_2_2;CAT_3_4;0;F_A;F;A;0.677;0.388
21;U_194;U_194;;D_3;CAT_2_2;CAT_3_2;0;S_B;S;B;1.564;0.411
22;U_194;U_194;;D_3;CAT_2_2;CAT_3_2;0;S_B;S;B;1.74;0.379
23;U_194;U_194;;D_3;CAT_2_2;CAT_3_2;0;S_B;S;B;1.307;0.458
24;U_83;;ES_20;D_2;CAT_2_1;CAT_3_5;0;G_A;G;A;0.533;0.394
25;U_130;U_130;ES_37;D_3;CAT_2_1;CAT_3_2;1;G_A;G;A;-1.557;0.754
26;U_130;U_130;;D_3;CAT_2_1;CAT_3_2;1;G_A;G;A;-0.366;0.557
27;U_248;;ES_3;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.634;0.766
28;U_49;;ES_41;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.484;0.581
29;U_146;;ES_31;D_3;CAT_2_1;CAT_3_4;0;G_A;G;A;1.008;0.323
30;U_95;;ES_34;D_2;CAT_2_3;CAT_3_1;0;G_A;G;A;2.8;0.119
31;U_75;;;D_1;CAT_2_3;CAT_3_1;0;F_A;F;A;0.189;0.46
32;U_122;;ES_2;D_2;CAT_2_1;CAT_3_5;0;S_B;S;B;-1.364;0.878
33;U_234;;;D_4;CAT_2_1;CAT_3_2;0;S_B;S;B;0.189;0.667
34;U_87;;ES_33;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;2.297;0.159
35;U_147;U_147;ES_18;D_3;CAT_2_2;CAT_3_2;0;G_A;G;A;1.608;0.22
36;U_147;U_147;;D_3;CAT_2_2;CAT_3_2;0;G_A;G;A;2.671;0.111
37;U_217;;;D_4;CAT_2_1;CAT_3_4;1;G_A;G;A;0.185;0.461
38;U_55;U_55;ES_47;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.556;0.762
39;U_55;U_55;;D_1;CAT_2_1;CAT_3_2;0;F_A;F;A;-1.534;0.759
40;U_55;U_55;;D_1;CAT_2_1;CAT_3_5;0;F_A;F;A;-2.629;0.883
41;U_204;;ES_31;D_3;CAT_2_1;CAT_3_4;1;G_A;G;A;0.402;0.42
42;U_191;;ES_6;D_3;CAT_2_1;CAT_3_5;0;G_A;G;A;-0.348;0.552
